iter	Passed	Remaining
0	55	5535
1	72	3573
2	90	2931
3	107	2575
4	122	2325
5	136	2138
6	153	2040
7	175	2016
8	191	1937
9	207	1869
10	225	1826
11	231	1697
12	236	1584
13	242	1488
14	248	1405
15	254	1336
16	260	1271
17	265	1211
18	271	1156
19	276	1106
20	281	1060
21	292	1036
22	309	1035
23	324	1029
24	331	993
25	336	958
26	341	924
27	348	895
28	353	866
29	359	838
30	365	814
31	371	789
32	377	766
33	382	743
34	388	722
35	394	700
36	400	681
37	405	661
38	410	642
39	416	625
40	422	607
41	428	591
42	434	575
43	440	560
44	447	546
45	453	532
46	459	517
47	464	503
48	470	489
49	475	475
50	485	466
51	493	455
52	499	443
53	505	430
54	511	418
55	516	405
56	521	393
57	526	381
58	531	369
59	537	358
60	542	346
61	548	336
62	553	325
63	558	314
64	564	303
65	569	293
66	574	283
67	581	273
68	587	263
69	592	254
70	598	244
71	603	234
72	609	225
73	614	215
74	620	206
75	628	198
76	634	189
77	639	180
78	644	171
79	650	162
80	656	153
81	661	145
82	666	136
83	672	128
84	678	119
85	683	111
86	689	102
87	694	94
88	699	86
89	705	78
90	710	70
91	716	62
92	722	54
93	727	46
94	733	38
95	738	30
96	744	23
97	750	15
98	755	7
99	762	0
